iteration,MSE_trg,MSE_tst,acc_trg,acc_tst,elapsed
0,0.13357928899,0.185366552243,0.505135135135,0.15871254162,0.042681093
10,0.133415322915,0.185061891714,0.505675675676,0.162042175361,0.475683655
20,0.133173051288,0.184705206083,0.508108108108,0.162042175361,0.917260285
30,0.133088391951,0.184627097383,0.508648648649,0.163152053274,1.391699591
40,0.132507601785,0.1830432972,0.50972972973,0.165371809101,1.869079453
50,0.132499035516,0.18302260473,0.50972972973,0.165371809101,2.338300321
60,0.132451510602,0.18297283639,0.51,0.165371809101,2.812578136
70,0.132254349578,0.182400410717,0.511081081081,0.166481687014,3.279921863
80,0.132218214212,0.182344252116,0.511081081081,0.166481687014,3.782818135
90,0.128951790178,0.137391157319,0.49,0.619311875694,4.318508239
100,0.127833304028,0.143307804759,0.498918918919,0.588235294118,4.783772513
110,0.127846218615,0.143371141145,0.499459459459,0.588235294118,5.2699753
120,0.127813608856,0.143239755395,0.498918918919,0.588235294118,5.753537015
130,0.127794124561,0.14322074639,0.498918918919,0.590455049945,6.21993759
140,0.127783652242,0.143108892609,0.498378378378,0.590455049945,6.692133955
150,0.127741065336,0.143032585937,0.498648648649,0.591564927858,7.180411233
160,0.127739732423,0.143016378376,0.498648648649,0.591564927858,7.669036926
170,0.127792775809,0.143138551354,0.498108108108,0.589345172031,8.155350669
180,0.127693085713,0.142929825385,0.498378378378,0.592674805771,8.648722293
190,0.127214462626,0.139227839251,0.49972972973,0.597114317425,9.133327556
200,0.127179831729,0.139142751519,0.49972972973,0.597114317425,9.59210172
210,0.127129103387,0.139186090697,0.501081081081,0.596004439512,10.070671813
220,0.126968238601,0.138965069947,0.501621621622,0.597114317425,10.542513502
230,0.126875428164,0.138725236452,0.501621621622,0.597114317425,11.034418089
240,0.126750097802,0.138338744904,0.503243243243,0.600443951165,11.518725124
250,0.126727122207,0.13832380292,0.503513513514,0.600443951165,12.083214694
260,0.126726881753,0.138308114207,0.503513513514,0.600443951165,12.572954207
270,0.126616987224,0.138731156519,0.505675675676,0.598224195339,13.04652188
280,0.126260982121,0.150633056303,0.499189189189,0.350721420644,13.492100829
290,0.126256784744,0.150623563337,0.499189189189,0.350721420644,13.954900652
300,0.125709900104,0.148895452287,0.507837837838,0.375138734739,14.419569658
310,0.125628182764,0.14887869256,0.508108108108,0.375138734739,14.888996645
320,0.125572031661,0.148812286712,0.508378378378,0.376248612653,15.355442872
330,0.125687432148,0.149020631193,0.507567567568,0.372918978912,15.804735137
340,0.125495823596,0.148723763044,0.509189189189,0.376248612653,16.255930046
350,0.125174188389,0.146868351694,0.510810810811,0.38179800222,16.727267693
360,0.125174159327,0.146867342889,0.510810810811,0.38179800222,17.201258068
370,0.125025608617,0.145642605496,0.511891891892,0.38179800222,17.685041451
380,0.12468075199,0.144424168181,0.512702702703,0.394006659267,18.120761019
390,0.124673027686,0.144399441896,0.513243243243,0.394006659267,18.608393858
400,0.123678154078,0.141801793573,0.519189189189,0.410654827969,19.148189051
