iteration,MSE_trg,MSE_tst,acc_trg,acc_tst,elapsed
0,0.142440239504,0.098960403209,0.51027027027,0.730299667037,2.748836539
10,0.158092362805,0.287512092517,0.492162162162,0.00665926748058,32.532204022
20,0.128817008086,0.192443821852,0.508648648649,0.0455049944506,63.763815452
30,0.126218904988,0.157276762181,0.535945945946,0.22641509434,94.19081834
40,0.121468350911,0.0781984011046,0.54027027027,0.832408435072,125.068457191
50,0.171426661193,0.0131728214709,0.50972972973,0.998890122087,155.892971392
60,0.124386006601,0.0966711674606,0.582432432432,0.772475027747,185.672717434
70,0.128409164003,0.193563466356,0.536486486486,0.0910099889012,216.432173229
80,0.123129506897,0.0713089927353,0.571621621622,0.936736958935,247.954021953
90,0.129551412208,0.169520464645,0.555405405405,0.316315205327,278.148831915
100,0.144317764847,0.214724149745,0.512702702703,0.172031076582,308.985141238
110,0.175284285482,0.0121038517087,0.510540540541,1.0,339.622858178
120,0.129560080983,0.0367586863551,0.510540540541,1.0,369.822928536
130,0.116719803179,0.0868116794157,0.597567567568,0.862375138735,400.854527699
140,0.147157423441,0.221935234067,0.533783783784,0.258601553829,431.95837924
150,0.113129028896,0.112538365003,0.59972972973,0.42397336293,462.666101253
160,0.124184522683,0.0608164752004,0.558378378378,0.977802441731,494.489745425
170,0.113712054687,0.101479726192,0.617567567568,0.461709211987,525.99841544
180,0.117728846745,0.10779899596,0.541621621622,0.519422863485,556.454697581
190,0.116780415303,0.136980593238,0.585135135135,0.34961154273,587.207322184
200,0.121006225748,0.135673575801,0.559459459459,0.4628190899,617.96123156
210,0.122565628511,0.154346329611,0.554324324324,0.279689234184,648.911706106
220,0.112026324068,0.078625588438,0.625675675676,0.81243063263,680.226223474
230,0.117578169694,0.0763042211296,0.525675675676,0.882352941176,712.036330151
240,0.126776333655,0.165275681528,0.561081081081,0.291897891232,743.105351797
250,0.107872599881,0.0844383425444,0.672702702703,0.745837957825,774.358595719
260,0.110446116892,0.0873303614638,0.64027027027,0.743618201998,806.48442945
270,0.113962059129,0.124282357394,0.601891891892,0.5371809101,836.762248771
280,0.112582132253,0.125331325279,0.605405405405,0.391786903441,868.118949109
290,0.113526845023,0.130781863153,0.599459459459,0.360710321865,898.578185489
