iterations,fitness,time
0,2018.00451821,0.000151373
1,2018.00451821,0.0002121
2,2018.00451821,0.000255497
3,2123.18715611,0.000285084
4,2123.18715611,0.000311299
5,2123.18715611,0.00033763
6,2123.18715611,0.000368672
7,2123.18715611,0.000399812
8,2123.18715611,0.000427843
9,2123.18715611,0.000457515
10,2123.18715611,0.000484748
11,2123.18715611,0.000513271
12,2140.21875862,0.000544036
13,2140.21875862,0.000570695
14,2140.21875862,0.000614092
15,2140.21875862,0.000963928
16,2140.21875862,0.001022524
17,2140.21875862,0.001048973
18,2202.44542061,0.001074397
19,2202.44542061,0.001100581
20,2202.44542061,0.001129987
21,2251.13169902,0.00115759
22,2349.57659665,0.001182808
23,2349.57659665,0.001213249
24,2349.57659665,0.001239408
25,2349.57659665,0.001270288
26,2349.57659665,0.00131525
27,2349.57659665,0.001352729
28,2349.57659665,0.001386661
29,2382.39156253,0.001412709
30,2440.41630208,0.001437557
31,2535.88165482,0.001464163
32,2535.88165482,0.0014891
33,2535.88165482,0.001512659
34,2564.89402459,0.001541062
35,2564.89402459,0.001567426
36,2564.89402459,0.001595399
37,2564.89402459,0.001620088
38,2564.89402459,0.001661935
39,2564.89402459,0.001687125
40,2564.89402459,0.001714245
41,2564.89402459,0.001738121
42,2569.24238296,0.001779654
43,2569.24238296,0.001804391
44,2569.24238296,0.001827336
45,2569.24238296,0.001852638
46,2569.24238296,0.001874233
47,2569.24238296,0.001901107
48,2569.24238296,0.001921835
49,2569.24238296,0.001944005
50,2569.24238296,0.001965434
51,2569.24238296,0.00199056
52,2569.24238296,0.002011146
53,2569.24238296,0.00203341
54,2569.24238296,0.0020579
55,2569.24238296,0.002079093
56,2569.24238296,0.002099946
57,2569.24238296,0.002121108
58,2618.1930863,0.002142491
59,2618.32716136,0.002167434
60,2618.32716136,0.002187973
61,2618.32716136,0.002208621
62,2618.32716136,0.0022326
63,2618.32716136,0.00225956
64,2618.32716136,0.002282426
65,2757.91032454,0.002303207
66,2757.91032454,0.00232368
